"","family.ID","sample.ID","paternal.ID","maternal.ID","sex","affection"
"393","HG01495","HG01495",0,0,0,-9
"394","HG01497","HG01497",0,0,0,-9
"395","HG01498","HG01498",0,0,0,-9
"396","HG01515","HG01515",0,0,0,-9
"397","HG01516","HG01516",0,0,0,-9
"398","HG01518","HG01518",0,0,0,-9
"399","HG01519","HG01519",0,0,0,-9
"400","HG01521","HG01521",0,0,0,-9
"401","HG01522","HG01522",0,0,0,-9
"402","HG01550","HG01550",0,0,0,-9
"403","HG01551","HG01551",0,0,0,-9
"404","HG01617","HG01617",0,0,0,-9
"405","HG01618","HG01618",0,0,0,-9
"406","HG01619","HG01619",0,0,0,-9
"407","HG01620","HG01620",0,0,0,-9
"408","HG01623","HG01623",0,0,0,-9
"409","HG01624","HG01624",0,0,0,-9
"410","HG01625","HG01625",0,0,0,-9
"411","HG01626","HG01626",0,0,0,-9
"412","NA06984","NA06984",0,0,0,-9
"413","NA06986","NA06986",0,0,0,-9
"414","NA06989","NA06989",0,0,0,-9
"415","NA06994","NA06994",0,0,0,-9
"416","NA07000","NA07000",0,0,0,-9
"417","NA07037","NA07037",0,0,0,-9
"418","NA07048","NA07048",0,0,0,-9
"419","NA07051","NA07051",0,0,0,-9
"420","NA07056","NA07056",0,0,0,-9
"421","NA07347","NA07347",0,0,0,-9
"422","NA07357","NA07357",0,0,0,-9
"423","NA10847","NA10847",0,0,0,-9
"424","NA10851","NA10851",0,0,0,-9
"425","NA11829","NA11829",0,0,0,-9
"426","NA11830","NA11830",0,0,0,-9
"427","NA11831","NA11831",0,0,0,-9
"428","NA11843","NA11843",0,0,0,-9
"429","NA11892","NA11892",0,0,0,-9
"430","NA11893","NA11893",0,0,0,-9
"431","NA11894","NA11894",0,0,0,-9
"432","NA11919","NA11919",0,0,0,-9
"433","NA11920","NA11920",0,0,0,-9
"434","NA11930","NA11930",0,0,0,-9
"435","NA11931","NA11931",0,0,0,-9
"436","NA11932","NA11932",0,0,0,-9
"437","NA11933","NA11933",0,0,0,-9
"438","NA11992","NA11992",0,0,0,-9
"439","NA11993","NA11993",0,0,0,-9
"440","NA11994","NA11994",0,0,0,-9
"441","NA11995","NA11995",0,0,0,-9
"442","NA12003","NA12003",0,0,0,-9
"443","NA12004","NA12004",0,0,0,-9
"444","NA12006","NA12006",0,0,0,-9
"445","NA12043","NA12043",0,0,0,-9
"446","NA12044","NA12044",0,0,0,-9
"447","NA12045","NA12045",0,0,0,-9
"448","NA12046","NA12046",0,0,0,-9
"449","NA12058","NA12058",0,0,0,-9
"450","NA12144","NA12144",0,0,0,-9
"451","NA12154","NA12154",0,0,0,-9
"452","NA12155","NA12155",0,0,0,-9
"453","NA12249","NA12249",0,0,0,-9
"454","NA12272","NA12272",0,0,0,-9
"455","NA12273","NA12273",0,0,0,-9
"456","NA12275","NA12275",0,0,0,-9
"457","NA12282","NA12282",0,0,0,-9
"458","NA12283","NA12283",0,0,0,-9
"459","NA12286","NA12286",0,0,0,-9
"460","NA12287","NA12287",0,0,0,-9
"461","NA12340","NA12340",0,0,0,-9
"462","NA12341","NA12341",0,0,0,-9
"463","NA12342","NA12342",0,0,0,-9
"464","NA12347","NA12347",0,0,0,-9
"465","NA12348","NA12348",0,0,0,-9
"466","NA12383","NA12383",0,0,0,-9
"467","NA12399","NA12399",0,0,0,-9
"468","NA12400","NA12400",0,0,0,-9
"469","NA12413","NA12413",0,0,0,-9
"470","NA12489","NA12489",0,0,0,-9
"471","NA12546","NA12546",0,0,0,-9
"472","NA12716","NA12716",0,0,0,-9
"473","NA12717","NA12717",0,0,0,-9
"474","NA12718","NA12718",0,0,0,-9
"475","NA12748","NA12748",0,0,0,-9
"476","NA12749","NA12749",0,0,0,-9
"477","NA12750","NA12750",0,0,0,-9
"478","NA12751","NA12751",0,0,0,-9
"479","NA12761","NA12761",0,0,0,-9
"480","NA12763","NA12763",0,0,0,-9
"481","NA12775","NA12775",0,0,0,-9
"482","NA12777","NA12777",0,0,0,-9
"483","NA12778","NA12778",0,0,0,-9
"484","NA12812","NA12812",0,0,0,-9
"485","NA12814","NA12814",0,0,0,-9
"486","NA12815","NA12815",0,0,0,-9
"487","NA12827","NA12827",0,0,0,-9
"488","NA12829","NA12829",0,0,0,-9
"489","NA12830","NA12830",0,0,0,-9
"490","NA12842","NA12842",0,0,0,-9
"491","NA12843","NA12843",0,0,0,-9
"492","NA12872","NA12872",0,0,0,-9
"493","NA12873","NA12873",0,0,0,-9
"494","NA12874","NA12874",0,0,0,-9
"495","NA12889","NA12889",0,0,0,-9
"496","NA12890","NA12890",0,0,0,-9
"497","NA18486","NA18486",0,0,0,-9
"498","NA18487","NA18487",0,0,0,-9
"499","NA18489","NA18489",0,0,0,-9
"500","NA18498","NA18498",0,0,0,-9
"501","NA18499","NA18499",0,0,0,-9
"502","NA18501","NA18501",0,0,0,-9
"503","NA18502","NA18502",0,0,0,-9
"504","NA18504","NA18504",0,0,0,-9
"505","NA18505","NA18505",0,0,0,-9
"506","NA18507","NA18507",0,0,0,-9
"507","NA18508","NA18508",0,0,0,-9
"508","NA18510","NA18510",0,0,0,-9
"509","NA18511","NA18511",0,0,0,-9
"510","NA18516","NA18516",0,0,0,-9
"511","NA18517","NA18517",0,0,0,-9
"512","NA18519","NA18519",0,0,0,-9
"513","NA18520","NA18520",0,0,0,-9
"514","NA18522","NA18522",0,0,0,-9
"515","NA18523","NA18523",0,0,0,-9
"516","NA18525","NA18525",0,0,0,-9
"517","NA18526","NA18526",0,0,0,-9
"518","NA18527","NA18527",0,0,0,-9
"519","NA18528","NA18528",0,0,0,-9
"520","NA18530","NA18530",0,0,0,-9
"521","NA18532","NA18532",0,0,0,-9
"522","NA18534","NA18534",0,0,0,-9
"523","NA18535","NA18535",0,0,0,-9
"524","NA18536","NA18536",0,0,0,-9
"525","NA18537","NA18537",0,0,0,-9
"526","NA18538","NA18538",0,0,0,-9
"527","NA18539","NA18539",0,0,0,-9
"528","NA18541","NA18541",0,0,0,-9
"529","NA18542","NA18542",0,0,0,-9
"530","NA18543","NA18543",0,0,0,-9
"531","NA18544","NA18544",0,0,0,-9
"532","NA18545","NA18545",0,0,0,-9
"533","NA18546","NA18546",0,0,0,-9
"534","NA18547","NA18547",0,0,0,-9
"535","NA18548","NA18548",0,0,0,-9
"536","NA18549","NA18549",0,0,0,-9
"537","NA18550","NA18550",0,0,0,-9
"538","NA18552","NA18552",0,0,0,-9
"539","NA18553","NA18553",0,0,0,-9
"540","NA18555","NA18555",0,0,0,-9
"541","NA18557","NA18557",0,0,0,-9
"542","NA18558","NA18558",0,0,0,-9
"543","NA18559","NA18559",0,0,0,-9
"544","NA18560","NA18560",0,0,0,-9
"545","NA18561","NA18561",0,0,0,-9
"546","NA18562","NA18562",0,0,0,-9
"547","NA18563","NA18563",0,0,0,-9
"548","NA18564","NA18564",0,0,0,-9
"549","NA18565","NA18565",0,0,0,-9
"550","NA18566","NA18566",0,0,0,-9
"551","NA18567","NA18567",0,0,0,-9
"552","NA18570","NA18570",0,0,0,-9
"553","NA18571","NA18571",0,0,0,-9
"554","NA18572","NA18572",0,0,0,-9
"555","NA18573","NA18573",0,0,0,-9
"556","NA18574","NA18574",0,0,0,-9
"557","NA18576","NA18576",0,0,0,-9
"558","NA18577","NA18577",0,0,0,-9
"559","NA18579","NA18579",0,0,0,-9
"560","NA18582","NA18582",0,0,0,-9
"561","NA18592","NA18592",0,0,0,-9
"562","NA18593","NA18593",0,0,0,-9
"563","NA18595","NA18595",0,0,0,-9
"564","NA18596","NA18596",0,0,0,-9
"565","NA18597","NA18597",0,0,0,-9
"566","NA18599","NA18599",0,0,0,-9
"567","NA18602","NA18602",0,0,0,-9
"568","NA18603","NA18603",0,0,0,-9
"569","NA18605","NA18605",0,0,0,-9
"570","NA18606","NA18606",0,0,0,-9
"571","NA18608","NA18608",0,0,0,-9
"572","NA18609","NA18609",0,0,0,-9
"573","NA18610","NA18610",0,0,0,-9
"574","NA18611","NA18611",0,0,0,-9
"575","NA18612","NA18612",0,0,0,-9
"576","NA18613","NA18613",0,0,0,-9
"577","NA18614","NA18614",0,0,0,-9
"578","NA18615","NA18615",0,0,0,-9
"579","NA18616","NA18616",0,0,0,-9
"580","NA18617","NA18617",0,0,0,-9
"581","NA18618","NA18618",0,0,0,-9
"582","NA18619","NA18619",0,0,0,-9
"583","NA18620","NA18620",0,0,0,-9
"584","NA18621","NA18621",0,0,0,-9
"585","NA18622","NA18622",0,0,0,-9
"586","NA18623","NA18623",0,0,0,-9
"587","NA18624","NA18624",0,0,0,-9
"588","NA18626","NA18626",0,0,0,-9
"589","NA18627","NA18627",0,0,0,-9
"590","NA18628","NA18628",0,0,0,-9
"591","NA18630","NA18630",0,0,0,-9
"592","NA18631","NA18631",0,0,0,-9
"593","NA18632","NA18632",0,0,0,-9
"594","NA18633","NA18633",0,0,0,-9
"595","NA18634","NA18634",0,0,0,-9
"596","NA18635","NA18635",0,0,0,-9
"597","NA18636","NA18636",0,0,0,-9
"598","NA18637","NA18637",0,0,0,-9
"599","NA18638","NA18638",0,0,0,-9
"600","NA18639","NA18639",0,0,0,-9
"601","NA18640","NA18640",0,0,0,-9
"602","NA18641","NA18641",0,0,0,-9
"603","NA18642","NA18642",0,0,0,-9
"604","NA18643","NA18643",0,0,0,-9
"605","NA18645","NA18645",0,0,0,-9
"606","NA18647","NA18647",0,0,0,-9
"607","NA18740","NA18740",0,0,0,-9
"608","NA18745","NA18745",0,0,0,-9
"609","NA18747","NA18747",0,0,0,-9
"610","NA18748","NA18748",0,0,0,-9
"611","NA18749","NA18749",0,0,0,-9
"612","NA18757","NA18757",0,0,0,-9
"613","NA18853","NA18853",0,0,0,-9
"614","NA18856","NA18856",0,0,0,-9
"615","NA18858","NA18858",0,0,0,-9
"616","NA18861","NA18861",0,0,0,-9
"617","NA18867","NA18867",0,0,0,-9
"618","NA18868","NA18868",0,0,0,-9
"619","NA18870","NA18870",0,0,0,-9
"620","NA18871","NA18871",0,0,0,-9
"621","NA18873","NA18873",0,0,0,-9
"622","NA18874","NA18874",0,0,0,-9
"623","NA18907","NA18907",0,0,0,-9
